Messwert1;Messwert2;Messwert3;Messwert4
654060784;448909,2546;16168;true
-1700601172;-346143,1248;26736;true
211286048;70031,8356;10501;false
1338294207;600940,3714;40286;false
1159488418;132376,8031;36429;false
-1861124036;-1552230,222;23910;false
630314881;64502,13682;28496;true
-112292328;-42680,47434;32062;true
51701317;6382,09073;20056;true
-1008216254;-555491,049;20814;true
1520253327;172736,4307;56052;false
-369432101;-90613,71131;25368;false
1456494029;349782,4277;55649;false
1002558901;421420,3031;33843;false
206661572;55301,46428;29164;false
1890219785;284843,2467;62974;true
-1097587437;-141898,8283;4171;true
-387254244;-129603,1606;40502;false
1850828238;201220,726;30671;false
913813348;251669,8838;36001;true
597667824;104578,7969;63492;false
1812299885;278130,7374;63110;false
1666100879;225606,077;31776;false
143186312;136758,6552;51128;false
1375727245;473898,4654;50758;false
915484333;287255,8309;47680;false
-378687993;-84415,51337;11567;false
854756343;91721,89538;56956;false
-1289390668;-457555,2406;48311;true
-1386810117;-795645,506;37204;true
-1968978420;-1379802,677;43735;true
1428069737;155817,7564;6216;false
-367037708;-54643,10079;39370;true
-824102524;-106335,8095;46948;false
530068428;77802,49934;13842;false
1854409494;194077,3934;7832;true
605837861;121361,751;2885;true
-1737330966;-283229,6978;61221;true
-766969893;-196256,3698;24372;true
127011655;17142,8877;88;false
-1365059879;-161641,1935;17801;false
-1468845509;-292482,1802;21554;true
1081034652;111688,6716;54995;false
-874703595;-87680,7934;1656;true
-243366485;-62289,86051;47151;false
1256435458;846084,4835;42714;true
-1424199338;-153238,5774;12645;false
1291813330;947077,2214;60033;true
126472229;51537,17563;61067;false
-448457722;-301788,5074;56213;false
1395244334;157565,7068;26430;true
6949001;825,3950588;8787;true
1988101373;328992,4496;44391;false
476448209;156366,3305;5006;true
-1035099620;-108501,0084;11947;true
1700286257;309931,8733;63395;false
410126506;249014,272;7111;true
-1809540293;-411914,476;43080;false
-1128141408;-259045,0994;64877;true
1031121393;127867,2362;30511;true
-893932948;-92568,3906;15395;true
11749669;4327,686556;51623;true
293407846;53337,18342;31612;false
-1552810186;-167780,6792;33669;true
234527095;32308,45778;30716;true
286727521;130389,9595;7186;true
-197092442;-21940,60358;34186;true
1451861921;202689,0857;13692;false
523162634;470047,2902;21231;true
230388783;87700,33612;62745;false
1932451764;364613,5404;24164;true
1613511356;495094,0031;35158;true
722441583;177025,6268;14871;true
906923687;389237,6339;26345;true
667023748;214201,589;32891;true
-35992343;-19962,47532;17569;true
-1137872364;-131881,3588;40197;true
1879781842;911630,3792;59010;true
1057494847;446765,8838;64012;false
-1565198496;-377338,1138;36074;false
-611146518;-120115,2748;38888;true
-1424426704;-148130,8968;19677;false
1732354096;191462,6543;9376;true
-487445409;-59823,93336;3861;true
-796765005;-188271,504;15591;true
1044521505;809079,3997;20901;false
14385212;3983,719745;58665;true
1372670344;215557,5289;12196;false
-755319848;-129513,0055;57956;true
1391687106;154271,9328;9525;true
-1564707146;-266559,9908;40009;false
529591154;78053,2283;19565;true
-1196830143;-153243,2962;25775;true
1327205565;160970,96;38481;true
43277761;8527,637635;20607;false
-896912629;-177501,015;45337;false
1554455975;159415,0318;34092;false
-138412691;-33376,58331;41544;false
1595096018;796751,2577;13399;true
-1240279537;-143136,7036;10769;false
1024568548;107769,9114;53407;true
615903935;371474,0259;5847;false
1695882393;430645,6051;17588;false
1490151828;525256,196;53842;true
410545031;45474,6379;1189;false
-1897015259;-1166676,051;44755;true
1851533098;431592,7967;41611;true
-1159498610;-283565,324;63512;true
1342049811;167882,138;2389;true
-1324215454;-443771,935;45138;false
70799045;28128,34525;31694;false
-902839773;-100887,2246;22747;true
336204444;48125,4572;40552;false
-37855709;-25509,23787;5927;true
-382073700;-56014,32341;15815;true
-132321003;-23807,30533;27108;true
199354558;49963,54837;9292;false
999001944;119027,9929;30022;true
-884083710;-347927,4734;26002;false
827047876;110938,6822;21446;true
1032310789;103854,2041;217;false
890338908;138682,0729;12587;false
105467734;14060,4898;34122;true
-1563720838;-184292,3793;10961;true
-563756582;-117891,3806;26030;true
-972563408;-150808,4056;54313;true
216342993;21914,80885;58677;false
152091406;52993,52125;40814;false
-1504688636;-182740,9079;48320;true
-497795817;-143415,6776;52264;true
458230391;130848,1985;1416;false
1497033026;179608,0415;2676;true
-314412232;-47138,26567;38449;true
-698943135;-185938,5834;24507;false
-790400772;-85857,13361;23723;false
793976231;172753,7491;39701;false
520114826;87238,31365;30593;true
-1149200288;-144626,2633;32511;true
1080766011;237374,4808;34560;true
-629755945;-63534,69986;26689;false
1842857890;372972,6553;22608;false
-1137910762;-133824,6221;26594;true
-1707952776;-380475,1116;8427;true
971827911;98492,7446;28279;false
1597239247;515571,0933;55346;true
-1973932112;-796261,4409;37738;false
208390319;164735,43;21608;true
37724287;13599,23828;49639;true
1580966715;1562220,074;2497;false
579320640;342185,8476;16026;false
1950927177;237079,4965;48577;true
1539262020;1478637,867;25078;false
-588740852;-110520,1524;46806;false
-760011809;-256587,3764;37573;true
1531914079;337649,1248;8937;true
-512682569;-485494,857;14745;false
1817559423;754800,4248;266;false
541979007;248842,5193;42929;false
775527221;121746,8165;34243;true
1779066345;356169,4384;19494;false
-1135592348;-211627,3477;33276;true
447935471;88929,01946;58081;true
-750139716;-79844,56796;62008;true
171554883;48557,8497;11881;true
1167222461;241361,1375;53518;false
-1325607014;-331153,3885;49151;true
